section;p_nr;p_title;p_room;p_day;p_time;p_chair;p_discussant;authors;title
International Relations;2105;Who Protests?;MP6-4;Thursday;09:00;Johannes Vüllers;Roos van der Haer;Johannes Vüllers, Ingrid Vik Bakken;Lasting synergies? The effect of mass campaigns on subsequent protests by organizations
International Relations;2105;Who Protests?;MP6-4;Thursday;09:00;Johannes Vüllers;Roos van der Haer;Anna-Lena Hönig;Unveiling the faces of dissent: Disaggregating protest participation in autocracies
Political Behavior;1021;Consequences of Affective Polarization;MP6-1;Thursday;11:00;Aiko Wagner;Stuart Turnbull-Dugarte;Lisa Janssen, Anna Kern, Hannah Werner;“When they go low, we kick them”: Affective Polarization and its Effects on the Support for Reciprocal Democratic Transgressions
Political Behavior;1021;Consequences of Affective Polarization;MP6-1;Thursday;11:00;Aiko Wagner;Stuart Turnbull-Dugarte;Ivo Bantel, Sarah Engler, Lucas Leemann;Affective polarization and the support for different forms of government. Evidence from Germany
Political Behavior;1021;Consequences of Affective Polarization;MP6-1;Thursday;11:00;Aiko Wagner;Stuart Turnbull-Dugarte;Morgan Le Corre Juratic, Markus Wagner, Daniel Bischof;The Unexpected Democrats? Protecting Democratic Norms in Context of Affective Polarization
Political Behavior;1021;Consequences of Affective Polarization;MP6-1;Thursday;11:00;Aiko Wagner;Stuart Turnbull-Dugarte;Michael Jankowski, Florian Erlbruch, Markus Tepe;Partners in crime? The causal effect of affective polarization on collaborative cheating behavior
Political Behavior;1021;Consequences of Affective Polarization;MP6-1;Thursday;11:00;Aiko Wagner;Stuart Turnbull-Dugarte;Elena Heinz;The Power of Perceived Threat: Examining the Differential Effects of Realistic and Symbolic Threat on Partisan Prejudice
Political Behavior;1031;Social Norms and Politics;MP7-20;Thursday;11:00;Valentin Daur;Jan Menzner;Francesco Colombo, Tobias Widmann;The Politics of Progressive Communication: Voters Affective and Rational Responses to Gender- Inclusive Language
Political Behavior;1031;Social Norms and Politics;MP7-20;Thursday;11:00;Valentin Daur;Jan Menzner;Sofia Ammassari;The role of women in the normalisation process of the radical right
Political Behavior;1031;Social Norms and Politics;MP7-20;Thursday;11:00;Valentin Daur;Jan Menzner;Daniel Bischof, Tim Lars Allinger, Morgan Le Corre Juratic, Kristian Vrede Skaaning Frederiksen;How Citizens Perceive Others: The Role of Social Norms for Democracies
Political Behavior;1031;Social Norms and Politics;MP7-20;Thursday;11:00;Valentin Daur;Jan Menzner;Vicente Valentim, Giuliano Formisano;The co-evolution of political norms and their enforcement
Political Behavior;1031;Social Norms and Politics;MP7-20;Thursday;11:00;Valentin Daur;Jan Menzner;Conrad Ziller, Teresa Hummler;Embedded Backlash: How Social Norms Influence the Acceptance of Rights of Transsexuals
Political Behavior;1042;Rethinking the Nature of Migrants;MP5-Rom;Thursday;11:00;Niels Nyholt;Ala Alrababah;Noam Himmelrath, Marc Debus, Christian Stecker;"The ""migrant background"" in detail. Country of origin-specific effects of party preferences and voting behavior amongst migrants in Germany."
Political Behavior;1042;Rethinking the Nature of Migrants;MP5-Rom;Thursday;11:00;Niels Nyholt;Ala Alrababah;Henning Finseraas, Niels Nyholt, Kim Mannemar Sønderskov;What Explains the Integration Paradox?
Political Behavior;1042;Rethinking the Nature of Migrants;MP5-Rom;Thursday;11:00;Niels Nyholt;Ala Alrababah;Korinna O. Lindemann, António Valentim;The Cost of Ideological Learning: How Migrants Penalise Green Parties
Political Behavior;1042;Rethinking the Nature of Migrants;MP5-Rom;Thursday;11:00;Niels Nyholt;Ala Alrababah;Biljana Meiske;Queen Bee Immigrant: The effects of status perceptions on immigration attitudes
Political Behavior;1042;Rethinking the Nature of Migrants;MP5-Rom;Thursday;11:00;Niels Nyholt;Ala Alrababah;Ilona Lahdelma, Dominik Hangartner, Matti Sarvimäki, Maarit Olkkola;The intergenerational effects of forced displacement on human capital
Political Representation;1107;The Making of a Politician;MP8-Small;Thursday;11:00;Thomas Gschwend;Adam Dynes;Philippe Chassé, Richard Nadeau;Are Foreign and Regional Accents an Obstacle for Political Candidates? Language-based Judgments and Voters’ Attitudes
Political Representation;1107;The Making of a Politician;MP8-Small;Thursday;11:00;Thomas Gschwend;Adam Dynes;Miriam Golden;Recontesting Elections Among Incumbents in Legislatures
Political Representation;1107;The Making of a Politician;MP8-Small;Thursday;11:00;Thomas Gschwend;Adam Dynes;Alexander Herzog, David Schmuck;Intra-party delegation and the appointment of cabinet members in parliamentary systems
Political Representation;1107;The Making of a Politician;MP8-Small;Thursday;11:00;Thomas Gschwend;Adam Dynes;Lisa-Marie Werner;Breaking the Local Glass Ceiling: Female Mayors as Role Models for Women in Local Politics
Political Representation;1109;The Great Divide in US Politics and Society;MP6-5;Thursday;11:00;Bernard Grofman;Daniel Urquijo;Bernard Grofman, Jonathan Cervas;Use of metrics by US federal and state courts to quantify partisan and racial gerrymandering
Political Representation;1109;The Great Divide in US Politics and Society;MP6-5;Thursday;11:00;Bernard Grofman;Daniel Urquijo;Henri Pozsar, Daniel Urquijo;Labor, Gender, and Race: the Economic Origins of the American Prohibition
Political Representation;1109;The Great Divide in US Politics and Society;MP6-5;Thursday;11:00;Bernard Grofman;Daniel Urquijo;Daniel Urquijo;Coalitions of Contempt: How Discrimination Became Law in the American South
Political Representation;1109;The Great Divide in US Politics and Society;MP6-5;Thursday;11:00;Bernard Grofman;Daniel Urquijo;Kevin Clarke;Testing for Discrimination Under U.S. Law
Political Representation;1111;Political Participation: Causes and Consequences;MP7-Saal;Thursday;11:00;Andreas Videbæk Jensen;Leticia Meniconi Barbabela;Noam Lupu;Poll Workers and the Effects of Supportive Political Participation
Political Representation;1111;Political Participation: Causes and Consequences;MP7-Saal;Thursday;11:00;Andreas Videbæk Jensen;Leticia Meniconi Barbabela;Andreas Videbæk Jensen;What You Study Affects Political Participation: Political Socialization and Resource Accumulation Across College Fields of Study
Political Representation;1111;Political Participation: Causes and Consequences;MP7-Saal;Thursday;11:00;Andreas Videbæk Jensen;Leticia Meniconi Barbabela;Jesper Lindqvist, Jennifer Oser, Mikael Persson, Anders Sundell, Ruth Dassonneville;Political Participation and Opinion-Policy Congruence: Examining Individual-level and Macro-level Relationships
Political Representation;1111;Political Participation: Causes and Consequences;MP7-Saal;Thursday;11:00;Andreas Videbæk Jensen;Leticia Meniconi Barbabela;Jori Korpershoek;The Press, Petitions and Politics: The effect of newspaper entry on citizen activism in the United States (1870-1920)
Political Representation;1111;Political Participation: Causes and Consequences;MP7-Saal;Thursday;11:00;Andreas Videbæk Jensen;Leticia Meniconi Barbabela;Sarah Birch, Damien Bol, Ferran Martinez i Coma, Rubén Ruiz Rufino;Pollworking and democratic attitudes
Political Representation;1116;Candidates and Electoral Success;MP7-313;Thursday;11:00;David Willumsen;Jan Berz;John Kenny, Lucas Geese;An authenticity expectations gap? A comparison of publics and MPs views on politicians being true to themselves.
Political Representation;1116;Candidates and Electoral Success;MP7-313;Thursday;11:00;David Willumsen;Jan Berz;Javier Astudillo, Toni Rodon;Do contested leadership selections signal intra-party division or democracy? Citizens' perceptions of number of aspirants and the selection method.
Political Representation;1116;Candidates and Electoral Success;MP7-313;Thursday;11:00;David Willumsen;Jan Berz;Mikko Mattila, Stefanie Reher;Ableism at the Ballot Box? Electoral Success of Disabled Candidates in an Open-list PR System
Political Representation;1116;Candidates and Electoral Success;MP7-313;Thursday;11:00;David Willumsen;Jan Berz;Lasse Laustsen, Kristian Vrede Skaaning Frederiksen;Does Intergroup Conflict Cause Citizens to Dislike Undemocratic Candidates Less?
Political Representation;1116;Candidates and Electoral Success;MP7-313;Thursday;11:00;David Willumsen;Jan Berz;Heiko Giebler, Maarja Lühiste;Unequal distribution or unequal effect? Examining and explaining the gender gap in electoral success
Public Opinion and Political Communication;1402;Political Knowledge and Opinion Formation;MP8-Large;Thursday;11:00;Thorsten Faas;Nanna Lauritz Schönhage;Lea Mathies, Amin Oueslati, Simon Munzert, Sascha Göbel, Andy Guess, Pablo Barberá, JungHwan;Yang How Citizens Learn about Political Elites
Public Opinion and Political Communication;1402;Political Knowledge and Opinion Formation;MP8-Large;Thursday;11:00;Thorsten Faas;Nanna Lauritz Schönhage;Lena Masch, Philippe Joly, Thorsten Faas;Visualizing Climate Change: A Survey Experiment on Visual Information and Public Perceptions of Water Loss in Berlin
Public Opinion and Political Communication;1402;Political Knowledge and Opinion Formation;MP8-Large;Thursday;11:00;Thorsten Faas;Nanna Lauritz Schönhage;Maxime Walder, Nathalie Giger, Denise Traber;Question Randomization and Bayesian Framework: Improving Measures of Political Knowledge in Surveys Over Time
Public Opinion and Political Communication;1402;Political Knowledge and Opinion Formation;MP8-Large;Thursday;11:00;Thorsten Faas;Nanna Lauritz Schönhage;Michelle Torres;Framing a protest: Determinants of Visual Frames
Public Opinion and Political Communication;1402;Political Knowledge and Opinion Formation;MP8-Large;Thursday;11:00;Thorsten Faas;Nanna Lauritz Schönhage;E. Keith Smith, Dennis Kolcava;Do citizens really prefer ‘non-market’ over ‘market’-based and ‘pull’ over ‘push’ measures? Experimental Insights from the UK and Germany
Public Opinion and Political Communication;1415;Cleavages 1;MP7-222;Thursday;11:00;Tarik Abou-Chadi;Giorgio Malet;Francesco Raffaelli, Tarik Abou-Chadi;“Wokeness” – A New Dimension of Political Conflict in Europe?
Public Opinion and Political Communication;1415;Cleavages 1;MP7-222;Thursday;11:00;Tarik Abou-Chadi;Giorgio Malet;Naama Rivlin-Angert;Deconstruction of Political Identities - Experimental Evidence
Public Opinion and Political Communication;1415;Cleavages 1;MP7-222;Thursday;11:00;Tarik Abou-Chadi;Giorgio Malet;Jens Carstens;Place-based Grievances and Political Trust: Unraveling the Micro-Foundations of the Geography of Discontent
Public Opinion and Political Communication;1415;Cleavages 1;MP7-222;Thursday;11:00;Tarik Abou-Chadi;Giorgio Malet;Matthew Blayney, Geoffrey Evans, Zack Grant;Is there a woke ideology, and who is woke? An analysis of the British case.
Public Opinion and Political Communication;1415;Cleavages 1;MP7-222;Thursday;11:00;Tarik Abou-Chadi;Giorgio Malet;Lawrence McKay, Will Jennings, Gerry Stoker, Anand Menon, Sophie Stowers, Paula Surridge, Alan;Wager Framing regional redistribution: do policy frames build policy support and mitigate place-based grievance?
Comparative Politics;1506;The Organization of Political Protest;MP6-4;Thursday;11:00;Ivan Aleksandrov;Jou Fei Huang;Yuequan Guo;How Does Collective Action Occur and Survive in Autocracies? Worker Mobilization and Government Crackdowns in China in the 2010s
Comparative Politics;1506;The Organization of Political Protest;MP6-4;Thursday;11:00;Ivan Aleksandrov;Jou Fei Huang;Mina Rulis, Nils Weidmann, Tore Wig;International Scientific Collaboration and Political Protest
Comparative Politics;1506;The Organization of Political Protest;MP6-4;Thursday;11:00;Ivan Aleksandrov;Jou Fei Huang;Elena Leuschner;The Effects of Protesters' Identities on the Political Agenda
Comparative Politics;1506;The Organization of Political Protest;MP6-4;Thursday;11:00;Ivan Aleksandrov;Jou Fei Huang;Sergio Ascencio, Han Il Chang, Winnie Xia;Understanding Women's Protests: Double Standards, Popular Support, and the Strategic Choice of Protest Tactics
Comparative Politics;1506;The Organization of Political Protest;MP6-4;Thursday;11:00;Ivan Aleksandrov;Jou Fei Huang;Noah Buckley, Holger Kern, Quintin Beazer;Sore Spots: The Legacy of Past Repression on Present-Day Responses to Autocratic Coercion
Comparative Politics;1509;Clientelistic Policies in Comparative Perspective;MP5-SanFrancisco;Thursday;11:00;Rachel Bernhard;Pau Vall-Prat;Abhinav Khemka;Manipulating the System: Clientelism and Criminality in Politics
Comparative Politics;1509;Clientelistic Policies in Comparative Perspective;MP5-SanFrancisco;Thursday;11:00;Rachel Bernhard;Pau Vall-Prat;Franziska Roscher;Why Women Vote: When and How Clientelism Closes the Gender Turnout Gap
Comparative Politics;1509;Clientelistic Policies in Comparative Perspective;MP5-SanFrancisco;Thursday;11:00;Rachel Bernhard;Pau Vall-Prat;Abhit Bhandari, Jessica Gottlieb;Private-Sector Support for Programmatic Candidates: Experimental Evidence from Senegal
Comparative Politics;1509;Clientelistic Policies in Comparative Perspective;MP5-SanFrancisco;Thursday;11:00;Rachel Bernhard;Pau Vall-Prat;Nina McMurry;The Electoral Effects of Indigenous Polling Places in the Philippines
Comparative Politics;1509;Clientelistic Policies in Comparative Perspective;MP5-SanFrancisco;Thursday;11:00;Rachel Bernhard;Pau Vall-Prat;Merete Seeberg, Laurits Florang Aarslew;Women’s road to parliament in Africa: Do voters respond differently to campaign strategies depending on candidate gender?
European Politics;1603;The State of the European Union;MP7-315;Thursday;11:00;Theresa Kuhn;Christophe Crombez;Christophe Crombez, Matthieu Vanderschommen;Institutional Reform in the European Union: Economic Governance and the Introduction of a European Assembly
European Politics;1603;The State of the European Union;MP7-315;Thursday;11:00;Theresa Kuhn;Christophe Crombez;Lucas Schramm, Christian Freudlsperger;Integrating or disintegrating under external influence? Gauging the China effect on EU institutional development
European Politics;1603;The State of the European Union;MP7-315;Thursday;11:00;Theresa Kuhn;Christophe Crombez;Max Heermann, Sharon Baute, Dirk Leuffen;Community Norm Violations, Solidarity and European Integration: Does Democratic Backsliding in Member States Undermine EU Policy and Regime Support?
European Politics;1603;The State of the European Union;MP7-315;Thursday;11:00;Theresa Kuhn;Christophe Crombez;Isabela Zeberio;Cross-Border Interactions and European identity: A Study of the Øresund Bridge and its Impact on collective Identity
Formal Political Theory;1704;Formal Models of Electoral Competition;MP7-316;Thursday;11:00;Carlo Prato;Nolan McCarty;Carlo Prato, Peter Buisseret;Politics Transformed? Electoral Competition under Ranked Choice Voting
Formal Political Theory;1704;Formal Models of Electoral Competition;MP7-316;Thursday;11:00;Carlo Prato;Nolan McCarty;Indridi Indridason, Shaun Bowler;Votes of No-Consequence?
Formal Political Theory;1704;Formal Models of Electoral Competition;MP7-316;Thursday;11:00;Carlo Prato;Nolan McCarty;Salvatore Barbaro, Anna-Sophie Kurella;Do electoral systems of proportional representation favor polarizing candidates from the right?
Formal Political Theory;1704;Formal Models of Electoral Competition;MP7-316;Thursday;11:00;Carlo Prato;Nolan McCarty;Tiberiu Dragu, Xiaochen Fan;Representative Democracy in the Digital Age: Mobilization versus Persuasion in Electoral Campaigns
Party Politics;1813;Representation and Party Politics;MP6-2;Thursday;11:00;Thomas Meyer;Anke Tresch;Ryan Bakker, Seth Jolly, Jonathan Polk;Multidimensional Incongruence and Political Disaffection in Europe
Party Politics;1813;Representation and Party Politics;MP6-2;Thursday;11:00;Thomas Meyer;Anke Tresch;Alona Dolinsky, Lena Maria Huber, Mariken van der Velden;Representation of Social Groups and Voters’ Reactions: A Survey Experiment
Party Politics;1813;Representation and Party Politics;MP6-2;Thursday;11:00;Thomas Meyer;Anke Tresch;Maiken Røed;Party Appeals to Trade Unions in the UK House of Commons, 1950-2019
Party Politics;1813;Representation and Party Politics;MP6-2;Thursday;11:00;Thomas Meyer;Anke Tresch;Ruth Dassonneville, Patrick Fournier, Zeynep Somer-Topcu;Citizens' perceptions of the dimensionality of the political space
Party Politics;1813;Representation and Party Politics;MP6-2;Thursday;11:00;Thomas Meyer;Anke Tresch;Nathan Knoll, Damarys Canache, Matthew Mettler, Jeffery Mondak;Indigenous Quotas and Perceived Representation in Latin America
Conflict and Security;1904;Causes of Civil War;MP6-3;Thursday;11:00;Sverke Runde Saxegaard;Daniele Guariso;Wangyin Zhao;The Impact of Natural Disasters on the Ongoing Civil War: the Role of Spatial Configuration of Territorial Control
Conflict and Security;1904;Causes of Civil War;MP6-3;Thursday;11:00;Sverke Runde Saxegaard;Daniele Guariso;Eric Gabo Ekeberg Nilsen, Sverke Runde Saxegaard;Sensitivity analysis on the determinants of civil war onset
Conflict and Security;1904;Causes of Civil War;MP6-3;Thursday;11:00;Sverke Runde Saxegaard;Daniele Guariso;Prisca Jöst, Felix Hartmann;How do Horizontal Inequalities shape Local Cooperation and Conflict after Natural Disasters? Evidence from Drought- and Flood-Affected Communities in Africa
Conflict and Security;1904;Causes of Civil War;MP6-3;Thursday;11:00;Sverke Runde Saxegaard;Daniele Guariso;Sunhee Park, David Hendry;Re-examining the Grievance-Conflict Nexus: Objective vs. Subjective Grievances as the Source of Conflict
Conflict and Security;1904;Causes of Civil War;MP6-3;Thursday;11:00;Sverke Runde Saxegaard;Daniele Guariso;Megan Becker, Jonathan Markowitz;Fueling conflict?: Natural Resources and the Duration of Civil War
Political Methodology;2003;Conjoint Experiments;MP5-Barcelona;Thursday;11:00;Carolin Rapp;Anne-Marie Jeannet;Zikai Li;Navigating Noncompliance in Social Science Experiments: An Adaptive Allocation Framework for Enhancing Efficiency
Political Methodology;2003;Conjoint Experiments;MP5-Barcelona;Thursday;11:00;Carolin Rapp;Anne-Marie Jeannet;Mats Ahrenshop, Spyros Kosmidis, Thomas Robinson;Ranked Conjoint Experiments: Design and Application
Political Methodology;2003;Conjoint Experiments;MP5-Barcelona;Thursday;11:00;Carolin Rapp;Anne-Marie Jeannet;Florian Sichart, Markus Wagner;Disentangling the Intertwined: The Limits of Conjoint Designs in a Stereotyped World
Political Methodology;2003;Conjoint Experiments;MP5-Barcelona;Thursday;11:00;Carolin Rapp;Anne-Marie Jeannet;Carolin Rapp, Xavier Fernandez-i-Marin, Oliver James;Beyond conjoint by default: a new perspective on the analysis of conjoint experiments
Political Methodology;2003;Conjoint Experiments;MP5-Barcelona;Thursday;11:00;Carolin Rapp;Anne-Marie Jeannet;Lukas Stoetzer, Asya Magazinnik;Causal Attribution in Conjoint Analysis
International Relations;2101;Global Climate Politics;MP5-Köln;Thursday;11:00;Patrick Bayer;Christina Toenshoff;Sara Mitchell, Elise Pizzi, Adam Lappe;Border Disputes as Potential Barriers to Disaster Response
International Relations;2101;Global Climate Politics;MP5-Köln;Thursday;11:00;Patrick Bayer;Christina Toenshoff;Inbok Rhee, David Sungho Park, Dongil Lee;Balancing Global Climate Action and Local Rights: Survey Experimental Evidence on Public Support for Carbon Offsetting in Liberia
International Relations;2101;Global Climate Politics;MP5-Köln;Thursday;11:00;Patrick Bayer;Christina Toenshoff;Federica Genovese, Patrick Bayer, Lorenzo Crippa;Energy Transition, Financial Markets and New EU Interventionism
International Relations;2101;Global Climate Politics;MP5-Köln;Thursday;11:00;Patrick Bayer;Christina Toenshoff;Patrick Bayer, Lorenzo Crippa;Negotiating International Climate Science in the Intergovernmental Panel on Climate Change
International Relations;2109;Regime Survival;MP7-314;Thursday;11:00;Nils-Christian Bormann;Edward Goldring;Jørgen Møller, Clara Neupert-Wentz, Andrej Kokkonen, Carl Müller-Crepon;Child-monarchs and Itinerary Rule: Evidence from the Holy Roman Empire
International Relations;2109;Regime Survival;MP7-314;Thursday;11:00;Nils-Christian Bormann;Edward Goldring;Mauricio Rivera Celestino, Belen Gonzalez, Scott Gates;Dictators’ Personalization of Power and Specialists in Violence
International Relations;2109;Regime Survival;MP7-314;Thursday;11:00;Nils-Christian Bormann;Edward Goldring;Emil Kamalov, Ivetta Sergeeva;Can Political Exiles Evade the Long Arm of Autocrats? A Large-scale Conjoint Experiment on Donation Preferences Among Russian Exiles.
International Relations;2109;Regime Survival;MP7-314;Thursday;11:00;Nils-Christian Bormann;Edward Goldring;Roya Izadi;From Bullets to Balance Sheets: How Military Involvement in the Economy Shapes Leader Survival
International Relations;2109;Regime Survival;MP7-314;Thursday;11:00;Nils-Christian Bormann;Edward Goldring;Isabela Mares, Moritz Bondeli;Do Ex-Combatant Legislators Produce Hawkish Foreign Policy? Evidence from Interwar Europe
Political Behavior;1027;Experimental Designs in Electoral Research;MP5-Barcelona;Thursday;13:00;Ignacio Jurado;Arndt Leininger;Filip Kostelka;Election Frequency \& Electoral Abstention Approval
Political Behavior;1027;Experimental Designs in Electoral Research;MP5-Barcelona;Thursday;13:00;Ignacio Jurado;Arndt Leininger;Jeanne Marlier;The causal effect of independent candidacies on electoral participation: the French case
Political Behavior;1027;Experimental Designs in Electoral Research;MP5-Barcelona;Thursday;13:00;Ignacio Jurado;Arndt Leininger;Ignacio Jurado, Lluis Orriols;Losers' Consent in Polarized Elections: Experimental and Panel Evidence
Political Behavior;1027;Experimental Designs in Electoral Research;MP5-Barcelona;Thursday;13:00;Ignacio Jurado;Arndt Leininger;Rino Heim;Do Female Candidates Benefit from Voting Advice Applications?
Political Behavior;1038;Political Legacies 1;MP7-315;Thursday;13:00;Alexandra Blackman;Rasmus Broms;Bastian Becker;Confronting Colonialism: How does Historical Remembrance affect Political Attitudes?
Political Behavior;1038;Political Legacies 1;MP7-315;Thursday;13:00;Alexandra Blackman;Rasmus Broms;Makoto Fukumoto;Lingering Deference – Legacy of Efficient Feudal Lords on the Lack of Political Activism and Competitiveness in Post Democratic Japan
Political Behavior;1038;Political Legacies 1;MP7-315;Thursday;13:00;Alexandra Blackman;Rasmus Broms;Rebeca G..Antuña, Borg, Maxime;The Electoral Consequences of Decolonization in France: The Pieds Noirs and the Transformation of Nice.
Political Behavior;1043;Framing Migration;MP5-Köln;Thursday;13:00;Vincent Heddesheimer;Alexandra Jabbour;Domantas Undzėnas;Threat, hierarchies and hating your immigrant neighbour – an experimental approach
Political Behavior;1043;Framing Migration;MP5-Köln;Thursday;13:00;Vincent Heddesheimer;Alexandra Jabbour;Pavlos Vasilopoulos, Haley McAvay;Residential Location and Attitudes toward Immigration in Great Britain: Compositional or Contextual Effects?
Political Behavior;1043;Framing Migration;MP5-Köln;Thursday;13:00;Vincent Heddesheimer;Alexandra Jabbour;Alexandra Jabbour, Jean-François Daoust;Does housing competition lead to prejudice against immigrants?
Political Behavior;1043;Framing Migration;MP5-Köln;Thursday;13:00;Vincent Heddesheimer;Alexandra Jabbour;Ran Abramitzky, Leah Boustan, Rafaela Dancygier, Vincent Heddesheimer, Ahra Wu;The Polarization of the Immigration Debate: Evidence from 9 National Parliaments
